input_utterance,paraphrase_value,paraphrase_template
Terminate i-a541 now,End i-a541 immediately,( NP ( NP ( NN ) ( NN ) ) ( ADVP ( RB ) ) )
Search for cooking videos,Find videos on how to cook,( S ( VP ( VB ) ( NP ) ) )
Find most popular photos tagged #LOVE,Search for the most popular photos with the hashtag #LOVE,( S ( VP ( VB ) ( PP ) ) )
Search for a few nice photos matching Opera House with size 1024px * 768px,Find some beautiful pictures that match Opera House with dimensions of 1024px * 768px,( S ( VP ( VB ) ( NP ) ) )
Are the burglar alarms in the office malfunctioning ?,Is there a problem with the burglar alarms in the office?,( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( . ) )
Is the TV in the house off ?,Has the TV in the house been turned off?,( SQ ( VBZ ) ( NP ( NP ) ( PP ) ) ( VP ( VBN ) ( VP ) ) ( . ) )
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,Can you recommend a budget-friendly hotel near Seattle for tomorrow for two people?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Are there any cheap hotels for 7-day stay somewhere near Riverside,Can you find me some affordable lodging options near Riverside for a week-long stay?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ( PP ) ) ( . ) )
Send an email to Phil telling her that ''I got you'',"Compose an email to Phil, informing her that I have taken care of it.","( S ( VP ( VB ) ( NP ) ( PP ) ( , ) ( S ) ) ( . ) )"
I am looking for the latest scientific article related to Machine Learning,Can you find me the most recent scientific publication about Machine Learning?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
Create a comment saying ''Best Voice Ever'',Generate a comment that says 'Best Voice Ever',( S ( VP ( VB ) ( NP ) ) ( '' ) )
Jump to the previous song,Skip to the previous music track,( S ( VP ( VB ) ( PP ) ) )
Skip to the next song,Move on to the next track,( S ( VP ( VB ) ( PRT ) ( PP ) ) )
Where can I upgrade my laptop ?,Which places offer laptop upgrades?,( SBARQ ( WHNP ( WDT ) ( NNS ) ) ( SQ ( VP ) ) ( . ) )
Could you offer three barbershops in Newtown,Can you provide me with three barbershops in Newtown?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Let me have top three convenience stores near Newtown,Can you show me the three best convenience stores near Newtown?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
I want reviews for McDonald's at Kensington st.,Can you give me some feedback about McDonald's located on Kensington Street?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
How far is the closest cab,What is the distance to the nearest taxi?,( SBARQ ( WHNP ( WP ) ) ( SQ ( SQ ) ) ( . ) )
Request a taxi from the airport to home,Order a taxi to take me home from the airport,( S ( VP ( VB ) ( NP ) ( S ) ) )
What is the forecast for Harrison-Crawford State Forest,Can you provide the weather forecast for Harrison-Crawford State Forest?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
what is the forecast for colder in Anston,what is the weather forecast for lower temperatures in Anston,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) )
How hot is it in Pesotum,What is the temperature like in Pesotum?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ) ( . ) )
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033","I am looking for a pub that serves Italian dressing and can accommodate a party of 5 on February 11, 2033.",( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) )
Book a taverna in Equatorial Guinea this month for nine people.,Reserve a table at a tavern in Equatorial Guinea for nine people this month.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
Book a table for eight people please,Could you reserve a table for eight?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Please add Ruud Jolie to my playlist Guest List Polygon,Can you include Ruud Jolie in my Guest List Polygon playlist?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
add this artist named Kirk Hammett to my playlist Party,Include this musician called Kirk Hammett in my playlist Party,( S ( VP ( VB ) ( NP ) ) )
I want to put a copy of this tune into Skatepark Punks,I would like to add this song to Skatepark Punks,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) )
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6","Chronicle 4 of 6 in With Lee in Virginia, A Story of the American Civil War would receive my rating.",( S ( NP ( NP ) ( PP ) ( PP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
Rate this album two out of 6,Give this album a rating of two out of six,( S ( VP ( VB ) ( NP ) ( NP ) ) )
Give the current part of the saga 4 points out of 6.,Rate the current segment of the series with 4 points out of 6.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Can you play some fifties music by lavern baker,Could you please play some fifties music by Lavern Baker?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) )
Play a 1964 track from Shahram Nazeri on Pandora.,Can you play a song by Shahram Nazeri from 1964 on Pandora?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ( PP ) ) ( . ) )
Please play me some Satire music,Can you play some Satire music for me?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
When is Crime and Punishment U.S.A. showing?,What is the schedule for Crime and Punishment U.S.A.?,( SBARQ ( WHNP ( WP ) ) ( VP ( VBZ ) ( NP ) ) ( . ) )
find Fox Theatres with The Caretaker,locate Fox Theatres featuring The Caretaker,( S ( VP ( VB ) ( NP ) ) )
I would like to watch The Wedding Ring at the movie theatre,Can you find showtimes for The Wedding Ring at the cinema?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
I want to read the book The Lion Sleeps Tonight,I would like to read The Lion Sleeps Tonight book,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) )
Where can I buy a used copy of the game called I Lie Around?,Could you tell me where I can purchase a second-hand version of the game called I Lie Around?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) )
please give me the cheapest flight from denver to pittsburgh,Can you find the most affordable flight from Denver to Pittsburgh for me?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,book a flight from Milwaukee to Orlando on either Wednesday evening or Thursday morning,( S ( VP ( VB ) ( NP ) ( PP ) ) )
what is the lowest fare from denver to pittsburgh,find the cheapest price from Denver to Pittsburgh,( S ( VP ( VB ) ( NP ) ) )
what is the cheapest one way fare from boston to baltimore,what is the least expensive one-way ticket cost from Boston to Baltimore,( S ( SBAR ( WHNP ) ( S ) ) ( VP ( NN ) ( PP ) ( PP ) ) )
what is the ground transportation from oakland to san francisco,what are the transportation options from Oakland to San Francisco?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBP ) ( NP ) ) ( . ) )
can i get a rental car in dallas,is it possible for me to rent a car in dallas,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) )
show me the airlines between boston and denver,display the airlines that operate flights between Boston and Denver,( S ( VP ( VB ) ( NP ) ) )
what does ls stand for,what is the meaning of ls,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) )
what does dfw mean,can you tell me what dfw means?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) )
Terminate i-a541 now,Stop i-a541 right now,( S ( VP ( VB ) ( NP ) ( ADVP ) ) )
Find most popular photos tagged #LOVE,Discover the top-rated images labeled with #LOVE,( S ( VP ( VB ) ( NP ) ) )
Search for a few nice photos matching Opera House with size 1024px * 768px,Look for a couple of stunning images that correspond to Opera House with a resolution of 1024 pixels by 768 pixels,( S ( VP ( VB ) ( PP ) ) )
Are the burglar alarms in the office malfunctioning ?,Do the burglar alarms in the office have any issues?,( SQ ( VBP ) ( NP ( DT ) ( NN ) ) ( VP ( NNS ) ( PP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Is the TV in the house off ?,Is the television switched off inside the house?,( SQ ( VBZ ) ( NP ( DT ) ( NN ) ) ( VP ( VBN ) ( PRT ) ( PP ) ) ( . ) )
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,"I'm looking for a cheap hotel close to Seattle for tomorrow, accommodating two guests. Any suggestions?",( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) )
Are there any cheap hotels for 7-day stay somewhere near Riverside,I'm looking for inexpensive accommodations near Riverside that I can stay at for 7 days. Can you help me with that?,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) )
Send an email to Phil telling her that ''I got you'',"Write an email to Phil, saying that everything is under control.","( S ( VP ( VB ) ( NP ) ( PP ) ( , ) ( S ) ) ( . ) )"
Give me 5 conference articles about text mining,Find 5 conference articles on the topic of text mining,( S ( VP ( VB ) ( NP ) ( PP ) ) )
I am looking for the latest scientific article related to Machine Learning,Could you help me locate the newest scientific article regarding Machine Learning?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( S ) ) ( . ) )
Create a comment saying ''Best Voice Ever'',Compose a comment expressing 'Best Voice Ever',( S ( VP ( VB ) ( NP ) ) ( '' ) )
Jump to the previous song,Go back to the previous song,( S ( VP ( VB ) ( ADVP ) ) )
Skip to the next song,Jump to the following song,( S ( VP ( VB ) ( PP ) ) )
Where can I upgrade my laptop ?,Is there anywhere to upgrade my laptop?,( SQ ( VBZ ) ( NP ( EX ) ) ( ADVP ( RB ) ) ( S ( VP ) ) ( . ) )
Could you offer three barbershops in Newtown,I'm looking for three barbershops in Newtown. Can you help me?,( S ( NP ( PRP ) ) ( VP ( VP ) ( . ) ( SQ ) ) ( . ) )
Let me have top three convenience stores near Newtown,I would like to know the top three convenience stores close to Newtown.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
I want reviews for McDonald's at Kensington st.,I am interested in knowing what people think about the McDonald's restaurant on Kensington St. Can you provide reviews?,( S ( NP ( PRP ) ) ( VP ( VP ) ( MD ) ( S ) ) ( . ) )
How far is the closest cab,Can you tell me how far away the nearest taxi is?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) )
Request a taxi from the airport to home,Book a cab for me to get from the airport back home,( S ( VP ( VB ) ( NP ) ) )
What is the forecast for Harrison-Crawford State Forest,What's the predicted weather for Harrison-Crawford State Forest?,( SBARQ ( WHNP ( WP ) ) ( SQ ( VP ) ) ( . ) )
what is the forecast for colder in Anston,can you provide me with the weather prediction for a drop in temperature in Anston,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( PP ) ) )
How hot is it in Pesotum,Tell me the current temperature in Pesotum.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033","Can you find me a pub where I can have some Italian dressing with my party of 5 on February 11, 2033?",( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
Book a taverna in Equatorial Guinea this month for nine people.,Make a reservation at a tavern in Equatorial Guinea for nine guests this month.,( S ( VP ( VB ) ( NP ) ( PP ) ( PP ) ) ( . ) )
Book a table for eight people please,"I would like to make a reservation for a table of eight, please.",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
Please add Ruud Jolie to my playlist Guest List Polygon,"Add Ruud Jolie to the Guest List Polygon playlist, please.","( S ( VP ( VB ) ( NP ) ( PP ) ( , ) ( ADVP ) ) ( . ) )"
add this artist named Kirk Hammett to my playlist Party,Add Kirk Hammett as an artist to my Party playlist,( S ( VP ( VB ) ( NP ) ( PP ) ) )
I want to put a copy of this tune into Skatepark Punks,Can you please insert a copy of this track into Skatepark Punks?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) )
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6","With Lee in Virginia, A Story of the American Civil War gets a rating from me: chronicle number 4 out of 6.","( S ( PP ( IN ) ( NP ) ) ( , ) ( NP ( NP ) ( PP ) ) ( VP ( VBZ ) ( NP ) ) ( . ) )"
Rate this album two out of 6,Rate this album with a score of two out of six,( S ( VP ( VB ) ( NP ) ( PP ) ) )
Give the current part of the saga 4 points out of 6.,Assign a score of 4 out of 6 to the present section of the storyline.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Can you play some fifties music by lavern baker,"I'd like to listen to some fifties music performed by Lavern Baker, can you play that for me?","( S ( NP ( PRP ) ) ( VP ( VP ) ( , ) ( SQ ) ) ( . ) )"
Play a 1964 track from Shahram Nazeri on Pandora.,Could you please find and play a track from Shahram Nazeri released in 1964 on Pandora?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) )
Please play me some Satire music,"I would like to listen to Satire music, can you help me with that?",( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
When is Crime and Punishment U.S.A. showing?,Could you please tell me the showtimes for Crime and Punishment U.S.A.?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) )
find Fox Theatres with The Caretaker,search for Fox Theatres showcasing The Caretaker,( NP ( NP ( NP ) ( PP ) ) ( VP ( VBG ) ( NP ) ) )
I would like to watch The Wedding Ring at the movie theatre,Could you help me check when The Wedding Ring is playing at the theater?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( S ) ) ( . ) )
I want to read the book The Lion Sleeps Tonight,Is it possible for me to read the book titled The Lion Sleeps Tonight?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) ( . ) )
Where can I buy a used copy of the game called I Lie Around?,I'm looking for a place to buy a pre-owned copy of the game called I Lie Around. Any suggestions?,( S ( NP ( PRP ) ) ( VP ( VBP ) ( VP ) ) ( . ) ( NP ( DT ) ( NNS ) ) ( . ) )
please give me the cheapest flight from denver to pittsburgh,I need to know the least expensive flight option from Denver to Pittsburgh.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( S ) ) ( . ) )
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,find me flights departing from Milwaukee to Orlando on either Wednesday evening or Thursday morning,( S ( VP ( VB ) ( S ) ) )
what is the lowest fare from denver to pittsburgh,what is the least expensive fare for a trip from Denver to Pittsburgh,( SBAR ( WHNP ( WP ) ) ( S ( VP ) ) )
what is the cheapest one way fare from boston to baltimore,how much does it cost for a single journey from Boston to Baltimore at the lowest fare,( SBARQ ( WHNP ( WRB ) ( JJ ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) )
what is the ground transportation from oakland to san francisco,how can I get from Oakland to San Francisco?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )
what airlines fly between boston and atlanta,can you tell me the list of airlines that have flights from boston to atlanta,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) )
show me the airlines between boston and denver,find me a list of airlines flying from Boston to Denver,( S ( VP ( VB ) ( NP ) ( NP ) ) )
what does ls stand for,what is the definition of ls,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) )
what does dfw mean,could you explain the meaning of dfw?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Terminate i-a541 now,Cease the operation of i-a541 at once,( S ( VP ( VB ) ( NP ) ( ADVP ) ) )
Search for cooking videos,Retrieve cooking tutorials,( S ( VP ( VB ) ( NP ) ) )
Find most popular photos tagged #LOVE,Locate the trending pictures tagged as #LOVE,( S ( VP ( VB ) ( NP ) ) )
Search for a few nice photos matching Opera House with size 1024px * 768px,"Retrieve several attractive photos showcasing the Opera House, all measuring 1024 pixels in width and 768 pixels in height",( S ( VP ( VB ) ( NP ) ) )
Are the burglar alarms in the office malfunctioning ?,Are there any malfunctions with the burglar alarms in the office?,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( PP ) ) ( . ) )
Is the TV in the house off ?,Did someone turn off the TV in the house?,( SQ ( VBD ) ( NP ( NN ) ) ( VP ( VB ) ( PRT ) ( NP ) ( PP ) ) ( . ) )
Any suggestions for an inexpensive hotel near Seattle for tomorrow for 2,Do you have any recommendations for an affordable hotel near Seattle that can accommodate two people starting from tomorrow?,( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Are there any cheap hotels for 7-day stay somewhere near Riverside,Are there any budget-friendly hotels close to the Riverside area where I can book a room for a 7-day period?,( SQ ( VBP ) ( NP ( EX ) ) ( NP ( NP ) ( ADVP ) ) ( . ) )
Send an email to Phil telling her that ''I got you'',Send a message to Phil saying ''I've got your back'',( S ( VP ( VB ) ( NP ) ( PP ) ( VP ) ) ( '' ) ( '' ) )
Give me 5 conference articles about text mining,Provide me with 5 conference papers focusing on text mining,( S ( VP ( VB ) ( NP ) ( PP ) ) )
I am looking for the latest scientific article related to Machine Learning,I need assistance in finding the most up-to-date scientific paper that is connected to Machine Learning.,( S ( NP ( PRP ) ) ( VP ( VBP ) ( NP ) ( PP ) ) ( . ) )
Create a comment saying ''Best Voice Ever'',Craft a comment to declare 'Best Voice Ever',( S ( VP ( VB ) ( NP ) ) ( '' ) )
Jump to the previous song,Navigate to the previous music selection,( S ( VP ( VB ) ( PP ) ) )
Skip to the next song,Skip to the succeeding tune,( S ( VP ( VB ) ( PP ) ) )
Where can I upgrade my laptop ?,Where can I find a place that upgrades laptops?,( SBARQ ( WHADVP ( WRB ) ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )
Could you offer three barbershops in Newtown,Could you recommend three barbershops located in Newtown?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
Let me have top three convenience stores near Newtown,Please provide me with a list of the top three convenience stores in proximity to Newtown.,( S ( WHNP ( UH ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
I want reviews for McDonald's at Kensington st.,Could you please share some reviews for the McDonald's branch at Kensington Street?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( S ) ) ( . ) )
How far is the closest cab,Please provide the distance to the closest cab.,( S ( NP ( UH ) ) ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Request a taxi from the airport to home,Arrange for a taxi service to pick me up at the airport and drop me off at my place,( S ( VP ( VB ) ( PP ) ( S ) ) )
What is the forecast for Harrison-Crawford State Forest,I'd like to know what the forecast is for Harrison-Crawford State Forest.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
what is the forecast for colder in Anston,what does the future hold for cooler weather in Anston,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) )
How hot is it in Pesotum,Can you give me an update on how hot it is in Pesotum?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
"I would like to go to a pub that has italian dressing for a party of 5 on February 11, 2033","Is there any pub available on February 11, 2033 that offers Italian dressing and can seat a group of five?",( SQ ( VBZ ) ( NP ( EX ) ) ( NP ( NP ) ( ADJP ) ) ( PP ( IN ) ( NP ) ) ( . ) )
Book a taverna in Equatorial Guinea this month for nine people.,Book a table for nine people at a restaurant in Equatorial Guinea this month.,( S ( VP ( VB ) ( NP ) ( NP ) ) ( . ) )
Book a table for eight people please,Is it possible to book a table for eight people?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( S ( VP ) ) ( . ) )
Please add Ruud Jolie to my playlist Guest List Polygon,I'd like to add Ruud Jolie to my playlist called Guest List Polygon.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
add this artist named Kirk Hammett to my playlist Party,Can you please add the artist Kirk Hammett to my Party playlist?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( S ) ) ( . ) )
I want to put a copy of this tune into Skatepark Punks,Is it possible for me to place this melody in Skatepark Punks?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( SBAR ( IN ) ( S ) ) ( . ) )
"I would give With Lee in Virginia, A Story of the American Civil War chronicle 4 of 6","My rating for With Lee in Virginia, A Story of the American Civil War is chronicle 4 out of a total series count of six.","( S ( NP ( NP ) ( , ) ( NP ) ) ( VP ( VBZ ) ( ADJP ) ) ( . ) )"
Rate this album two out of 6,Assign a rating of two out of six to this album,( S ( VP ( VB ) ( NP ) ( PP ) ) )
Give the current part of the saga 4 points out of 6.,Give a rating of 4 out of 6 to this part in the ongoing saga.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
Can you play some fifties music by lavern baker,Is it possible to have a playlist of fifties songs specifically by Lavern Baker?,( SQ ( VBZ ) ( NP ( NP ) ) ( ADJP ( JJ ) ) ( S ( VP ) ) ( . ) )
Play a 1964 track from Shahram Nazeri on Pandora.,I would like to listen to a song from Shahram Nazeri that was released in 1964 on Pandora.,( S ( NP ( PRP ) ) ( VP ( MD ) ( VP ) ) ( . ) )
Please play me some Satire music,Could you find and play some music in the genre of Satire?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( CC ) ( VB ) ( NP ) ( PP ) ) ( . ) )
When is Crime and Punishment U.S.A. showing?,"I'm interested in knowing when Crime and Punishment U.S.A. is playing, can you help?","( S ( NP ( PRP ) ) ( VP ( VP ) ( , ) ( SQ ) ) ( . ) )"
find Fox Theatres with The Caretaker,discover Fox Theatres presenting The Caretaker,( S ( VP ( VB ) ( NP ) ) )
I would like to watch The Wedding Ring at the movie theatre,I'm interested in seeing a screening of The Wedding Ring. Can you find me movie times at the movie theatre?,( S ( NP ( PRP ) ) ( VP ( VBP ) ( ADJP ) ) ( . ) ( SQ ( MD ) ( NP ) ( VP ) ) ( . ) )
I want to read the book The Lion Sleeps Tonight,Could you recommend a good book called The Lion Sleeps Tonight for me to read?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( SBAR ) ) ( . ) )
Where can I buy a used copy of the game called I Lie Around?,Do you know any stores that sell used copies of the game named I Lie Around?,( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
please give me the cheapest flight from denver to pittsburgh,Could you please provide information on the cheapest flight available between Denver and Pittsburgh?,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( UH ) ( VP ) ) ( . ) )
i want to fly from milwaukee to orlando on either wednesday evening or thursday morning,search for flights between Milwaukee and Orlando with departure options on Wednesday evening or Thursday morning,( NP ( NP ( VB ) ) ( PP ( IN ) ( NP ) ) )
what is the lowest fare from denver to pittsburgh,can you show me the lowest cost for traveling from Denver to Pittsburgh,( SQ ( MD ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ( NP ) ) )
what is the cheapest one way fare from boston to baltimore,what is the most budget-friendly one-way fare from Boston to Baltimore,( SBARQ ( WHNP ( WP ) ) ( S ( VP ) ) )
what is the ground transportation from oakland to san francisco,tell me about the ground transport between Oakland and San Francisco.,( S ( VP ( VB ) ( NP ) ( PP ) ) ( . ) )
can i get a rental car in dallas,is there availability for renting a car in dallas,( VP ( VBZ ) ( NP ( PRP$ ) ) ( NP ( NP ) ( PP ) ) )
what airlines fly between boston and atlanta,find me the airlines that fly from boston to atlanta,( S ( VP ( VB ) ( S ) ) )
show me the airlines between boston and denver,show me the carriers servicing the Boston-Denver route,( S ( VP ( VB ) ( S ) ) )
what does ls stand for,what does the acronym ls stand for,( SBARQ ( WHNP ( WP ) ) ( SQ ( VBZ ) ( NP ) ( VP ) ) )
what does dfw mean,do you know the definition of dfw?,( SQ ( VBP ) ( NP ( PRP ) ) ( VP ( VB ) ( NP ) ) ( . ) )
